team1,team2,team1_score,team2_score,team1_prob,team2_prob,type
South Korea,Czechia,2,1,0.597,0.403,Group Stage
Mexico,South Africa,2,0,0.8846,0.1154,Group Stage
Canada,Bosnia-Herzegovina,1,0,0.8861,0.1139,Group Stage
United States,Paraguay,1,2,0.4795,0.5205,Group Stage
Qatar,Switzerland,0,1,0.15,0.85,Group Stage
Brazil,Morocco,2,1,0.6829,0.3171,Group Stage
Haiti,Scotland,1,2,0.3947,0.6053,Group Stage
Australia,Turkey,1,0,0.52,0.48,Group Stage
Germany,Cura챌ao,3,0,0.8837,0.1163,Group Stage
Ivory Coast,Ecuador,1,2,0.3803,0.6197,Group Stage
Netherlands,Japan,2,1,0.527,0.473,Group Stage
Sweden,Tunisia,1,0,0.4247,0.5753,Group Stage
Belgium,Egypt,2,0,0.8026,0.1974,Group Stage
Iran,New Zealand,2,0,0.7975,0.2025,Group Stage
Spain,Cape Verde Islands,2,0,0.9205,0.0795,Group Stage
Saudi Arabia,Uruguay,0,1,0.1818,0.8182,Group Stage
Argentina,Algeria,3,0,0.9231,0.0769,Group Stage
Austria,Jordan,1,0,0.8333,0.1667,Group Stage
France,Senegal,2,0,0.7237,0.2763,Group Stage
Iraq,Norway,0,1,0.2338,0.7662,Group Stage
Portugal,Congo DR,1,0,0.8506,0.1494,Group Stage
Uzbekistan,Colombia,1,2,0.1857,0.8143,Group Stage
England,Croatia,1,0,0.6395,0.3605,Group Stage
Ghana,Panama,1,2,0.4133,0.5867,Group Stage
Czechia,South Africa,2,1,0.8395,0.1605,Group Stage
Mexico,South Korea,1,0,0.642,0.358,Group Stage
Switzerland,Bosnia-Herzegovina,1,0,0.8462,0.1538,Group Stage
Canada,Qatar,2,0,0.9286,0.0714,Group Stage
Turkey,Paraguay,1,0,0.6164,0.3836,Group Stage
United States,Australia,1,0,0.6914,0.3086,Group Stage
Scotland,Morocco,0,1,0.2911,0.7089,Group Stage
Brazil,Haiti,2,0,0.9348,0.0652,Group Stage
Germany,Ivory Coast,2,0,0.8082,0.1918,Group Stage
Ecuador,Cura챌ao,3,0,0.9551,0.0449,Group Stage
Netherlands,Sweden,2,1,0.8313,0.1687,Group Stage
Tunisia,Japan,1,2,0.2133,0.7867,Group Stage
Belgium,Iran,2,1,0.6769,0.3231,Group Stage
New Zealand,Egypt,0,2,0.3684,0.6316,Group Stage
Spain,Saudi Arabia,2,0,0.9659,0.0341,Group Stage
Uruguay,Cape Verde Islands,2,0,0.9125,0.0875,Group Stage
Jordan,Algeria,0,1,0.3165,0.6835,Group Stage
Argentina,Austria,1,0,0.85,0.15,Group Stage
Norway,Senegal,1,2,0.4737,0.5263,Group Stage
France,Iraq,1,0,0.9302,0.0698,Group Stage
Portugal,Uzbekistan,1,0,0.7848,0.2152,Group Stage
Colombia,Congo DR,2,0,0.9176,0.0824,Group Stage
England,Ghana,2,0,0.9036,0.0964,Group Stage
Panama,Croatia,1,2,0.3375,0.6625,Group Stage
Scotland,Brazil,0,1,0.119,0.881,Group Stage
Mexico,Czechia,2,1,0.7808,0.2192,Group Stage
South Africa,South Korea,0,1,0.2763,0.7237,Group Stage
Canada,Switzerland,1,0,0.6133,0.3867,Group Stage
Bosnia-Herzegovina,Qatar,2,1,0.6901,0.3099,Group Stage
Morocco,Haiti,1,0,0.9146,0.0854,Group Stage
Tunisia,Netherlands,0,1,0.253,0.747,Group Stage
Japan,Sweden,2,0,0.8372,0.1628,Group Stage
Ecuador,Germany,0,1,0.4074,0.5926,Group Stage
United States,Turkey,2,1,0.56,0.44,Group Stage
Paraguay,Australia,1,2,0.4559,0.5441,Group Stage
Cura챌ao,Ivory Coast,0,3,0.1519,0.8481,Group Stage
Uruguay,Spain,1,2,0.3571,0.6429,Group Stage
Cape Verde Islands,Saudi Arabia,1,0,0.525,0.475,Group Stage
Norway,France,0,1,0.32,0.68,Group Stage
Egypt,Iran,1,2,0.4028,0.5972,Group Stage
New Zealand,Belgium,1,2,0.2025,0.7975,Group Stage
Senegal,Iraq,1,0,0.8,0.2,Group Stage
Congo DR,Uzbekistan,0,1,0.3867,0.6133,Group Stage
Colombia,Portugal,2,1,0.5143,0.4857,Group Stage
Panama,England,0,1,0.1429,0.8571,Group Stage
Algeria,Austria,0,1,0.5195,0.4805,Group Stage
Jordan,Argentina,0,3,0.044,0.956,Group Stage
Croatia,Ghana,2,0,0.8588,0.1412,Group Stage
